VIRGINIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
51,77648,001,02
51,77792,185,09
51,77856,001,02
51,77925,149,04
51,78192,061,05
51,78532,117,05
51,78688,031,05
51,78736,165,06
51,79024,171,06
51,79360,153,01
51,79360,153,11
51,79456,077,09
51,79472,023,06
51,79560,087,07
51,79768,079,05
51,79952,059,08
51,79952,059,11
51,80000,067,05
51,80016,117,05
51,80120,107,10
51,80165,003,05
51,80272,119,01
51,80608,027,09
51,80864,015,06
51,81024,111,05
51,81072,059,11
51,81152,089,09
51,81280,161,06
51,81312,083,05
51,82000,810,02
51,82320,001,02
51,82371,059,11
51,82384,183,04
51,83056,025,05
51,83088,017,06
51,83136,061,05
51,83168,159,01
51,83248,157,05
51,83568,001,02
51,83600,183,04
51,83680,820,06
51,83808,169,09
51,84366,059,08
51,84366,059,11
51,84632,067,05
51,84960,101,01
51,84976,059,11
51,85184,015,06
51,85600,103,01
51,85608,001,02
51,86160,830,02
51,86720,840,10
51,86784,093,03
51,87008,015,06
51,87008,125,05
51,87072,195,09
51,87240,059,10
51,87240,059,11
51,87312,153,11
51,87333,059,11
51,87380,041,07
51,87408,035,09
51,87430,059,08
51,87712,171,06
51,87960,087,07
51,88000,197,09
51,88145,029,05
51,88176,153,10
51,88240,199,02
