MISSOURI CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
29,35000,047,05
29,35000,095,05
29,35000,095,06
29,35186,209,07
29,35240,219,03
29,35306,015,04
29,35306,159,04
29,35324,227,06
29,35396,221,08
29,35450,187,08
29,35468,093,08
29,35486,011,04
29,35648,031,08
29,36224,175,04
29,36314,061,06
29,36332,061,06
29,36368,135,04
29,36512,097,07
29,37000,027,03
29,37000,051,03
29,37178,189,01
29,37214,039,04
29,37574,139,03
29,37592,097,07
29,37592,145,07
29,37700,183,03
29,37736,123,08
29,37790,045,06
29,38000,037,04
29,38000,047,05
29,38000,047,06
29,38000,095,05
29,38000,165,06
29,38072,047,06
29,38216,201,08
29,38306,069,08
29,38468,041,06
29,38522,025,06
29,38612,209,07
29,38684,099,03
29,38774,075,06
29,38792,027,03
29,38846,025,06
29,38918,101,04
29,38972,189,01
29,39008,213,07
29,39026,001,06
29,39044,189,02
29,39080,213,07
29,39188,101,04
29,39278,103,06
29,39440,149,08
29,39503,099,03
29,39512,111,06
29,39566,115,06
29,39602,007,06
29,39638,083,04
29,39656,189,02
29,39764,111,06
29,39845,037,04
29,39952,107,05
29,39980,095,05
29,39980,095,06
29,39990,027,03
29,40034,029,03
29,40034,131,03
29,40043,183,02
29,40043,183,03
29,40088,189,02
29,40142,131,03
29,40196,095,05
29,40196,095,06
29,40214,099,03
29,40304,061,06
29,40322,165,06
29,40340,037,04
29,40376,011,04
29,40430,011,04
29,40448,201,08
29,40520,159,04
29,40592,119,07
29,40610,197,06
29,40682,121,06
29,40736,079,06
29,40790,097,07
29,40826,049,06
29,40880,101,04
29,40916,029,04
29,40916,141,04
29,40988,047,06
29,40988,177,05
29,41024,187,08
29,41078,187,08
29,41114,055,08
29,41132,145,07
29,41168,105,04
29,41348,037,04
29,41348,095,05
29,41348,095,06
29,41402,101,04
29,41417,079,06
29,41438,189,01
29,41438,189,02
29,41546,205,06
29,41690,071,03
29,41762,095,06
29,41834,021,06
29,41852,111,06
29,41870,107,05
29,41906,011,04
29,42032,047,06
29,42464,215,08
29,42536,143,08
29,42608,015,04
29,43238,151,03
29,43274,029,03
29,43292,115,06
29,43346,157,08
29,43454,171,06
29,43468,037,04
29,43472,061,06
29,43490,057,04
29,43652,051,03
29,43672,145,07
29,43760,095,05
29,43940,157,08
29,44156,059,04
29,44174,163,06
29,44282,185,04
29,44372,171,06
29,44390,117,06
29,44498,135,04
29,44516,045,06
29,44768,019,04
29,44829,209,07
29,45020,075,06
29,45110,189,02
29,45200,139,03
29,45218,029,04
29,45326,121,06
29,45470,137,06
29,45596,087,06
29,45614,069,08
29,45632,195,05
29,45668,189,02
29,45740,229,08
29,45830,189,01
29,45830,189,02
29,45848,017,08
29,45866,041,06
29,45866,115,06
29,46172,109,07
29,46208,189,02
29,46244,123,08
29,46316,195,05
29,46388,225,04
29,46406,143,08
29,46424,219,03
29,46460,007,04
29,46586,189,01
29,46586,189,02
29,46640,147,06
29,46730,143,08
29,46946,063,06
29,46964,107,05
29,47036,115,06
29,47180,189,02
29,47270,199,06
29,47288,041,06
29,47486,129,06
29,47520,213,07
29,47540,013,04
29,47594,151,03
29,47612,217,04
29,47648,007,04
29,47684,195,05
29,47900,139,03
29,48062,211,06
29,48098,011,04
29,48134,001,06
29,48242,109,07
29,48386,223,08
29,48476,217,04
29,48566,011,04
29,48602,123,08
29,48656,133,08
29,48656,201,08
29,48710,221,08
29,48880,071,03
29,48980,047,06
29,49034,175,04
29,49070,027,03
29,49088,189,01
29,49196,009,07
29,49196,109,07
29,49394,127,06
29,49394,137,06
29,49394,173,06
29,49574,139,03
29,49592,111,06
29,49610,203,08
29,49664,083,04
29,49790,117,06
29,49898,143,08
29,49988,201,08
29,50060,073,03
29,50078,167,07
29,50168,047,06
29,50204,113,03
29,50312,087,06
29,50330,217,04
29,50402,215,08
29,50402,229,08
29,50438,091,08
29,50510,195,05
29,50528,081,06
29,50672,109,07
29,50834,099,02
29,51140,107,05
29,51302,181,08
29,51356,097,07
29,51446,023,08
29,51500,195,05
29,51572,145,07
29,51644,217,04
29,51662,103,06
29,51680,027,03
29,51716,161,08
29,51734,121,06
29,51770,139,03
29,51824,089,04
29,51860,081,06
29,51914,071,03
29,52058,173,06
29,52076,143,08
29,52148,183,03
29,52292,145,07
29,52328,211,06
29,52418,225,04
29,52616,043,07
29,52742,119,07
29,52760,033,06
29,52796,189,01
29,53102,047,05
29,53102,047,06
29,53138,143,08
29,53174,165,06
29,53408,189,01
29,53454,229,08
29,53462,189,01
29,53516,103,06
29,53534,001,06
29,53624,095,05
29,53624,095,06
29,53624,107,05
29,53650,071,03
29,53750,189,02
29,53786,031,08
29,53804,047,05
29,53858,047,05
29,53876,189,02
29,53894,047,05
29,53948,047,05
29,54038,107,05
29,54074,183,02
29,54074,183,03
29,54200,031,08
29,54352,189,01
29,54416,113,03
29,54560,131,03
29,54650,189,01
29,54650,189,02
29,54686,099,08
29,54758,201,08
29,54848,087,06
29,54920,097,07
29,54938,177,05
29,55244,029,03
29,55244,131,03
29,55352,049,06
29,55352,063,06
