MARYLAND CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
24,78050,005,07
24,78120,029,01
24,78425,005,02
24,78425,005,03
24,78575,041,01
24,78650,031,06
24,78650,031,08
24,78705,043,06
24,79225,045,01
24,79350,013,08
24,79675,033,05
24,79875,033,05
24,79900,021,06
24,80075,001,06
24,80600,019,01
24,81175,017,05
24,81250,033,04
24,81275,021,08
24,81675,031,06
24,81925,045,01
24,82625,011,01
24,82750,001,06
24,83025,033,04
24,83100,013,08
24,83225,047,01
24,83290,033,04
24,83290,033,05
24,83337,039,01
24,83746,047,01
24,83775,031,06
24,83775,031,08
24,84225,045,01
24,84350,005,01
24,84350,005,02
24,84350,005,03
24,84375,031,03
24,84375,031,08
24,84950,045,01
24,85100,043,06
24,85175,011,01
24,85395,043,06
24,86275,001,06
24,86475,005,07
24,86525,033,04
24,86525,033,05
24,86710,033,04
24,86710,033,05
24,86750,021,08
24,87000,029,01
24,87150,043,06
24,87275,001,06
